newId,SP,Region,RCRegion,Province,Residence,Gender,Dis,District,VillageNeighborhood,Lon,Lat,wave,Urbanity,Village,UrbanRuralStatus,UrbanRuralStatus14,DariVillage,Kishstartnumber,Urban,Metro,district_TAF_2015,Name,client
1181546,1546,4. South Western,6. RC S. West,27. Helmand,2. Town,M,345,Lashkar Gah town,Nawi korta Lagan,64.375198,31.589759,18,,,,,,,,,,,ANQAR
1181547,1547,4. South Western,6. RC S. West,27. Helmand,2. Town,F,345,Lashkar Gah town,Kamp Mahajerin,64.364727,31.597435,18,,,,,,,,,,,ANQAR
1181548,1548,4. South Western,6. RC S. West,27. Helmand,2. Town,M,345,Lashkar Gah town,De Nawe Mahlimino Numri,64.382622,31.597618,18,,,,,,,,,,,ANQAR
1181549,1549,4. South Western,6. RC S. West,27. Helmand,1. Village,M,343,Baghran,,,,18,,,,,,,,,,,ANQAR
1181550,1550,4. South Western,6. RC S. West,27. Helmand,1. Village,M,343,Baghran,,,,18,,,,,,,,,,,ANQAR
1181551,1551,4. South Western,6. RC S. West,27. Helmand,1. Village,M,343,Baghran,,,,18,,,,,,,,,,,ANQAR
1181552,1552,4. South Western,6. RC S. West,27. Helmand,1. Village,M,343,Baghran,,,,18,,,,,,,,,,,ANQAR
1181553,1553,4. South Western,6. RC S. West,27. Helmand,1. Village,F,339,Nad 'Ali,WAKIL GHULAM NABI KALAY,64.28636,31.64913,18,,,,,,,,,,,ANQAR
1181554,1554,4. South Western,6. RC S. West,27. Helmand,1. Village,M,339,Nad 'Ali,TOOR KHAN,64.28283,31.60869,18,,,,,,,,,,,ANQAR
1181555,1555,4. South Western,6. RC S. West,27. Helmand,1. Village,F,339,Nad 'Ali,HAZAR HA SAYID ABAD,64.20357,31.57111,18,,,,,,,,,,,ANQAR
1181556,1556,4. South Western,6. RC S. West,27. Helmand,1. Village,M,339,Nad 'Ali,HAJI BARUK KALAY,64.14012,31.57572,18,,,,,,,,,,,ANQAR
1181557,1557,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,JAW DARAZ,64.92901000000001,32.47267,18,,,,,,,,,,,ANQAR
1181558,1558,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,KARAIZ DAHI BABA,64.94511,32.37074,18,,,,,,,,,,,ANQAR
1181559,1559,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,SHAIKH ZAI,64.97958,32.34327,18,,,,,,,,,,,ANQAR
1181560,1560,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,KARAIZ GHAZI,64.99485,32.36146,18,,,,,,,,,,,ANQAR
1181561,1561,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,GHACHZAR YA TAL,65.02211,32.41231,18,,,,,,,,,,,ANQAR
1181562,1562,4. South Western,6. RC S. West,27. Helmand,1. Village,M,344,Kajaki,AHANGARAN,65.02054,32.33737,18,,,,,,,,,,,ANQAR
1181563,1563,4. South Western,6. RC S. West,27. Helmand,1. Village,F,345,Lashkar Gah rural,MIRZA KALAY,64.32601,31.66133,18,,,,,,,,,,,ANQAR
1181564,1564,4. South Western,6. RC S. West,27. Helmand,1. Village,M,345,Lashkar Gah rural,KAMP MUKHTAR MALIK NASULLAH,64.36122,31.63378,18,,,,,,,,,,,ANQAR
1181565,1565,4. South Western,6. RC S. West,27. Helmand,1. Village,M,346,Sangin,KHAKASH KARAIZ,64.83299,32.0077,18,,,,,,,,,,,ANQAR
1181566,1566,4. South Western,6. RC S. West,27. Helmand,1. Village,M,346,Sangin,RAGHALAGH,64.8892,31.9772,18,,,,,,,,,,,ANQAR
1181567,1567,4. South Western,6. RC S. West,27. Helmand,1. Village,M,346,Sangin,CHAH BABUR,,,18,,,,,,,,,,,ANQAR
1181568,1568,4. South Western,6. RC S. West,27. Helmand,1. Village,M,346,Sangin,KARIM KARAIZ,64.85207,31.99283,18,,,,,,,,,,,ANQAR
1181569,1569,4. South Western,6. RC S. West,27. Helmand,1. Village,M,347,Musa Qal'ah,KARAIZ NEDAMAT YA KARAIZ  A. HAMID,64.81128,32.39115,18,,,,,,,,,,,ANQAR
1181570,1570,4. South Western,6. RC S. West,27. Helmand,1. Village,M,347,Musa Qal'ah,YAKA KHAK,64.77552,32.34668,18,,,,,,,,,,,ANQAR
1181571,1571,4. South Western,6. RC S. West,27. Helmand,1. Village,M,347,Musa Qal'ah,FASL SHAH JOWI,64.79065,32.3212,18,,,,,,,,,,,ANQAR
1181572,1572,4. South Western,6. RC S. West,27. Helmand,1. Village,M,347,Musa Qal'ah,ZUBAIR KARAIZ,64.88096,32.30026,18,,,,,,,,,,,ANQAR
1181573,1573,4. South Western,6. RC S. West,27. Helmand,1. Village,M,348,Now Zad,SAR GHAT,64.54633,32.81578,18,,,,,,,,,,,ANQAR
1181574,1574,4. South Western,6. RC S. West,27. Helmand,1. Village,M,348,Now Zad,CHAR BAND,64.60185,32.70507,18,,,,,,,,,,,ANQAR
1181575,1575,4. South Western,6. RC S. West,27. Helmand,1. Village,M,348,Now Zad,WACHA QOLBA,64.68259000000001,32.68294,18,,,,,,,,,,,ANQAR
1181576,1576,4. South Western,6. RC S. West,27. Helmand,1. Village,M,348,Now Zad,AKBAR KHAN NAWA,64.71742,32.72799,18,,,,,,,,,,,ANQAR
1181577,1577,4. South Western,6. RC S. West,27. Helmand,1. Village,F,417,Marjah,MARJA BLOCK 3-A,64.10952,31.43325,18,,,,,,,,,,,ANQAR
1181578,1578,4. South Western,6. RC S. West,27. Helmand,1. Village,M,417,Marjah,MARJA BLOCK 2-B,64.12148000000001,31.46088,18,,,,,,,,,,,ANQAR
1181579,1579,4. South Western,6. RC S. West,27. Helmand,1. Village,M,351,Washer,PAYA WAK,63.95306,32.27418,18,,,,,,,,,,,ANQAR
1181580,1580,4. South Western,6. RC S. West,27. Helmand,1. Village,M,351,Washer,TOOT SHAH,63.82576,32.22437,18,,,,,,,,,,,ANQAR
1181581,1581,4. South Western,6. RC S. West,27. Helmand,1. Village,F,340,Nahr-e Saraj,PAYEN QALA,64.76749,31.95478,18,,,,,,,,,,,ANQAR
